SURVEY:  PS1MD
SNID:  PS0909006
IAUC:    UNKNOWN
RA:        333.9502660  deg
DECL:       1.1848310  deg
MWEBV:    0.0368 +- 0.003  MW E(B-V)
REDSHIFT_FINAL:  0.2840 +- 0.0010  (CMB)
SEARCH_PEAKMJD: 55083.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PS0909006.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0009

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55072.5 i NULL  256.021 18.478 -11.021 0.078
OBS: 55087.5 i NULL  228.244 19.889 -10.896 0.095
OBS: 55090.4 i NULL  192.985 11.374 -10.714 0.064
OBS: 55093.5 i NULL  162.724 13.917 -10.529 0.093
OBS: 55096.4 i NULL  161.604 9.950 -10.521 0.067
OBS: 55102.4 i NULL  117.660 34.490 -10.177 0.318
OBS: 55408.5 i NULL  15.835 20.247 -7.999 1.388
OBS: 55411.5 i NULL  -14.338 10.757 nan -0.815
OBS: 55414.5 i NULL  3.004 7.250 -6.194 2.620
OBS: 55417.5 i NULL  -11.240 6.641 nan -0.642
OBS: 55423.5 i NULL  -1.530 5.942 nan -4.218
OBS: 55426.5 i NULL  -6.409 8.173 nan -1.385
OBS: 55429.5 i NULL  25.201 9.736 -8.504 0.419
OBS: 55438.5 i NULL  0.132 7.944 -2.803 65.244
OBS: 55441.5 i NULL  -5.559 7.748 nan -1.513
OBS: 55444.4 i NULL  8.634 8.282 -7.341 1.042
OBS: 55447.4 i NULL  9.749 4.990 -7.472 0.556
OBS: 55450.4 i NULL  1.761 10.485 -5.614 6.465
OBS: 55453.4 i NULL  2.425 6.511 -5.962 2.915
OBS: 55456.4 i NULL  2.113 7.874 -5.812 4.047
OBS: 55465.5 i NULL  0.067 10.473 -2.072 168.708
OBS: 55468.3 i NULL  -9.224 7.144 nan -0.841
OBS: 55477.2 i NULL  2.022 5.675 -5.764 3.047
OBS: 55480.2 i NULL  7.824 12.062 -7.234 1.674
OBS: 55483.2 i NULL  4.765 5.165 -6.695 1.177
OBS: 55486.3 i NULL  -20.650 19.686 nan -1.035
OBS: 55498.2 i NULL  7.702 10.564 -7.217 1.489
OBS: 55501.4 i NULL  -5.086 11.120 nan -2.374
OBS: 55507.3 i NULL  12.385 7.947 -7.732 0.697
OBS: 55510.2 i NULL  1.957 7.146 -5.729 3.965
OBS: 55534.3 i NULL  10.970 7.622 -7.600 0.754
OBS: 55738.6 i NULL  -11.838 18.668 nan -1.712
OBS: 55741.6 i NULL  11.485 8.344 -7.650 0.789
OBS: 55747.6 i NULL  -22.855 11.634 nan -0.553
OBS: 55765.6 i NULL  -11.461 9.119 nan -0.864
OBS: 55768.6 i NULL  2.094 6.251 -5.802 3.241
OBS: 55771.4 i NULL  44.837 19.044 -9.129 0.461
OBS: 55774.6 i NULL  1.099 4.894 -5.103 4.833
OBS: 55777.4 i NULL  9.685 7.061 -7.465 0.792
OBS: 55792.6 i NULL  -16.227 10.896 nan -0.729
OBS: 55804.5 i NULL  -2.002 6.722 nan -3.644
OBS: 55807.3 i NULL  6.535 29.626 -7.038 4.922
OBS: 55810.3 i NULL  -14.027 6.451 nan -0.499
OBS: 55819.3 i NULL  1.365 11.046 -5.338 8.783
OBS: 55822.5 i NULL  3.004 5.979 -6.194 2.161
OBS: 55834.3 i NULL  0.934 9.495 -4.926 11.037
OBS: 55850.3 i NULL  -5.460 8.304 nan -1.651
OBS: 55853.4 i NULL  2.191 7.280 -5.851 3.608
OBS: 55861.3 i NULL  -12.417 7.836 nan -0.685
OBS: 55882.2 i NULL  -65.910 53.683 nan -0.884
OBS: 56136.6 i NULL  2.674 11.354 -6.068 4.610
OBS: 56148.5 i NULL  -1.311 6.670 nan -5.526
OBS: 56151.6 i NULL  3.192 7.494 -6.260 2.550
OBS: 56156.5 i NULL  17.224 13.639 -8.090 0.860
OBS: 56166.4 i NULL  5.104 9.429 -6.770 2.006
OBS: 56174.3 i NULL  -2.055 9.150 nan -4.835
OBS: 56207.4 i NULL  -2.694 5.148 nan -2.075
OBS: 56210.3 i NULL  -1.180 5.978 nan -5.499
OBS: 56213.3 i NULL  -4.741 13.614 nan -3.118
OBS: 56215.2 i NULL  -4.314 13.952 nan -3.511
OBS: 56218.2 i NULL  8.256 7.791 -7.292 1.024
OBS: 56221.3 i NULL  8.303 10.610 -7.298 1.387
OBS: 56239.2 i NULL  -3.728 22.836 nan -6.650
OBS: 56242.2 i NULL  -2.603 13.797 nan -5.754
OBS: 56284.2 i NULL  11.789 10.261 -7.679 0.945
OBS: 56473.5 i NULL  -9.103 9.876 nan -1.178
OBS: 56476.6 i NULL  1.851 6.860 -5.668 4.025
OBS: 56481.6 i NULL  -8.962 7.785 nan -0.943
OBS: 56484.5 i NULL  -18.782 16.271 nan -0.941
OBS: 56491.5 i NULL  0.166 8.036 -3.051 52.528
OBS: 56505.4 i NULL  -2.431 7.296 nan -3.259
OBS: 56508.6 i NULL  2.006 6.375 -5.756 3.450
OBS: 56513.6 i NULL  -3.613 6.342 nan -1.906
OBS: 56516.5 i NULL  1.532 8.171 -5.463 5.793
OBS: 56520.5 i NULL  0.799 5.307 -4.756 7.213
OBS: 56532.4 i NULL  12.398 13.737 -7.733 1.203
OBS: 56538.4 i NULL  -5.903 6.708 nan -1.234
OBS: 56540.4 i NULL  -5.069 10.141 nan -2.172
OBS: 56550.5 i NULL  37.867 32.413 -8.946 0.929
OBS: 56558.4 i NULL  0.549 12.345 -4.349 24.422
OBS: 56564.4 i NULL  3.866 29.788 -6.468 8.366
OBS: 56567.2 i NULL  -0.367 39.753 nan -117.765
OBS: 56569.3 i NULL  4.888 12.202 -6.723 2.710
OBS: 56575.3 i NULL  -2.662 8.797 nan -3.588
OBS: 56588.4 i NULL  11.955 11.227 -7.694 1.020
OBS: 56597.2 i NULL  -16.074 6.772 nan -0.457
OBS: 56599.3 i NULL  -26.399 12.770 nan -0.525
OBS: 56626.2 i NULL  35.917 41.069 -8.888 1.242
OBS: 54998.6 z NULL  -14.886 16.375 nan -1.194
OBS: 55013.6 z NULL  -20.199 26.881 nan -1.445
OBS: 55016.6 z NULL  -14.666 14.994 nan -1.110
OBS: 55034.5 z NULL  0.449 23.687 -4.130 57.304
OBS: 55082.3 z NULL  208.059 16.155 -10.795 0.084
OBS: 55091.3 z NULL  165.311 14.729 -10.546 0.097
OBS: 55094.4 z NULL  86.889 64.728 -9.847 0.809
OBS: 55097.3 z NULL  146.538 12.972 -10.415 0.096
OBS: 55388.6 z NULL  -20.787 14.530 nan -0.759
OBS: 55400.6 z NULL  24.358 43.465 -8.467 1.937
OBS: 55409.5 z NULL  2.815 10.943 -6.124 4.221
OBS: 55412.5 z NULL  9.450 10.411 -7.439 1.196
OBS: 55415.6 z NULL  3.671 21.389 -6.412 6.325
OBS: 55424.5 z NULL  11.954 12.721 -7.694 1.155
OBS: 55427.5 z NULL  -4.075 7.879 nan -2.099
OBS: 55436.4 z NULL  5.594 14.478 -6.869 2.810
